%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1452442120702295770,-0.00525647904673,-0.000933221543411,-0.00831005974737,0.0,0.0,-0.0166385156717
1452442120702301450,-0.00530908592837,-0.000923847667555,-0.00831000118143,0.0,0.0,-0.0166650959882
1452442120705396729,-0.00536011460356,-0.000914755007975,-0.00830935604951,0.0,0.0,-0.0166968767579
1452442120707510148,-0.00542766500779,-0.0264238037732,-0.00938772843308,0.0,0.0,-0.0106697807578
1452442120711938100,-0.00547518138519,-0.0258167779368,-0.0093868857404,0.0,0.0,-0.0108350356795
1452442120714803530,-0.00552127227127,-0.0252279628756,-0.00938598477271,0.0,0.0,-0.0109961556579
1452442120717654214,-0.00556598043077,-0.0246568122661,-0.00938527396863,0.0,0.0,-0.0111508142166
1452442120721102323,-0.00560934734548,-0.024102796175,-0.00938444981008,0.0,0.0,-0.011302183667
1452442120724175112,-0.00521992126655,0.00603241705845,-0.010906718417,0.0,0.0,-0.0204403699838
1452442120727522463,-0.0052725103822,0.00587196146617,-0.0109059479881,0.0,0.0,-0.0203909254858
1452442120730666325,-0.00532352182439,0.00571631954167,-0.0109051876423,0.0,0.0,-0.0203431229823
1452442120734132640,-0.00537300292331,0.0055653468749,-0.0109044156242,0.0,0.0,-0.0202971341697
1452442120739018997,-0.00542099958926,0.00541890338813,-0.0109034996473,0.0,0.0,-0.0202544739113
1452442120742662297,-0.00546755635523,0.00527685320597,-0.0109028485173,0.0,0.0,-0.0202103565511
1452442120744421240,-0.00551271641823,0.00513906452927,-0.0109020498117,0.0,0.0,-0.0201694805265
1452442120747511872,-0.00618959793029,-0.0260956680777,-0.0126163835069,0.0,0.0,-0.012490619082
1452442120750697966,-0.00621476837501,-0.0255058109973,-0.0126156942502,0.0,0.0,-0.0126164215582
1452442120754187311,-0.00623918370639,-0.0249336496293,-0.0126149595813,0.0,0.0,-0.012739214645
1452442120757487207,-0.00626286657783,-0.0243786531023,-0.0126142471843,0.0,0.0,-0.0128583236199
1452442120760635095,-0.00628583896312,-0.0238403064711,-0.0126135557822,0.0,0.0,-0.012973856666
1452442120763992472,-0.00630812217685,-0.0233181102389,-0.0126128427211,0.0,0.0,-0.0130864283586
1452442120767532215,-0.00632973689418,-0.0228115798936,-0.0126121296601,0.0,0.0,-0.0131958588741
1452442120774674552,-0.00635070316998,-0.0223202454587,-0.0126112304542,0.0,0.0,-0.013304412401
1452442120774747940,-0.00637104045751,-0.0218436510568,-0.0126106620078,0.0,0.0,-0.0134061874244
1452442120777690609,-0.00662579769401,-0.0172310761696,-0.012629246793,0.0,0.0,-0.0146091996327
1452442120780840723,-0.00663853666148,-0.0168773343673,-0.0126285568246,0.0,0.0,-0.0146834520536
1452442120783991068,-0.00665089345992,-0.016534204819,-0.0126278533304,0.0,0.0,-0.0147558770161
1452442120787451610,-0.00666287955441,-0.0162013691572,-0.0126271376885,0.0,0.0,-0.0148265269055
