%time,field.x,field.y,field.z,field.yaw,field.time
1452442120707371425,-0.00542766500779,-0.0264238037732,-0.00938772843308,-0.0106697807578,1452442120.71
1452442120711950230,-0.00547518138519,-0.0258167779368,-0.0093868857404,-0.0108350356795,1452442120.71
1452442120714799316,-0.00552127227127,-0.0252279628756,-0.00938598477271,-0.0109961556579,1452442120.71
1452442120717378620,-0.00556598043077,-0.0246568122661,-0.00938527396863,-0.0111508142166,1452442120.72
1452442120721070504,-0.00560934734548,-0.024102796175,-0.00938444981008,-0.011302183667,1452442120.72
1452442120723982871,-0.00521992126655,0.00603241705845,-0.010906718417,-0.0204403699838,1452442120.72
1452442120727307522,-0.0052725103822,0.00587196146617,-0.0109059479881,-0.0203909254858,1452442120.73
1452442120730541686,-0.00532352182439,0.00571631954167,-0.0109051876423,-0.0203431229823,1452442120.73
1452442120733953571,-0.00537300292331,0.0055653468749,-0.0109044156242,-0.0202971341697,1452442120.73
1452442120739541474,-0.00542099958926,0.00541890338813,-0.0109034996473,-0.0202544739113,1452442120.74
1452442120742644169,-0.00546755635523,0.00527685320597,-0.0109028485173,-0.0202103565511,1452442120.74
1452442120744462930,-0.00551271641823,0.00513906452927,-0.0109020498117,-0.0201694805265,1452442120.74
1452442120747447834,-0.00618959793029,-0.0260956680777,-0.0126163835069,-0.012490619082,1452442120.75
1452442120750532088,-0.00621476837501,-0.0255058109973,-0.0126156942502,-0.0126164215582,1452442120.75
1452442120754271889,-0.00623918370639,-0.0249336496293,-0.0126149595813,-0.012739214645,1452442120.75
1452442120757312055,-0.00626286657783,-0.0243786531023,-0.0126142471843,-0.0128583236199,1452442120.76
1452442120760611258,-0.00628583896312,-0.0238403064711,-0.0126135557822,-0.012973856666,1452442120.76
1452442120763869338,-0.00630812217685,-0.0233181102389,-0.0126128427211,-0.0130864283586,1452442120.76
1452442120767217503,-0.00632973689418,-0.0228115798936,-0.0126121296601,-0.0131958588741,1452442120.77
1452442120773099572,-0.00635070316998,-0.0223202454587,-0.0126112304542,-0.013304412401,1452442120.77
1452442120774280852,-0.00637104045751,-0.0218436510568,-0.0126106620078,-0.0134061874244,1452442120.77
1452442120777401694,-0.00662579769401,-0.0172310761696,-0.012629246793,-0.0146091996327,1452442120.78
1452442120780582252,-0.00663853666148,-0.0168773343673,-0.0126285568246,-0.0146834520536,1452442120.78
1452442120784000223,-0.00665089345992,-0.016534204819,-0.0126278533304,-0.0147558770161,1452442120.78
1452442120787471802,-0.00666287955441,-0.0162013691572,-0.0126271376885,-0.0148265269055,1452442120.79
1452442120790779726,-0.00667450606607,-0.0158785185652,-0.012626417504,-0.0148953566875,1452442120.79
1452442120793969357,-0.00668578378237,-0.015565353491,-0.0126256849166,-0.0149625198256,1452442120.79
1452442120797579707,-0.00669672316719,-0.015261583369,-0.0126249499813,-0.015027950538,1452442120.8
1452442120802090454,-0.00670733437046,-0.0149669263507,-0.0126240369139,-0.0150937642235,1452442120.8
1452442120804522176,-0.00671762723764,-0.0146811090429,-0.0126235006801,-0.015153514995,1452442120.8
1452442120807847433,-0.0111989690922,-0.00384917985695,-0.0134125663782,-0.0184396494735,1452442120.81
1452442120810572597,-0.0110876984592,-0.00381729504545,-0.0134119665883,-0.0184303288297,1452442120.81
1452442120813895154,-0.0109797659452,-0.0037863667783,-0.0134112956169,-0.0184224233518,1452442120.81
1452442120817346418,-0.0108750714067,-0.00375636635916,-0.0134105844918,-0.0184155025317,1452442120.82
1452442120820529366,-0.0107735177043,-0.0037272659526,-0.0134099192918,-0.018408480506,1452442120.82
1452442120824503377,-0.0106750106129,-0.00369903855823,-0.0134091173522,-0.0184036460899,1452442120.82
1452442120827812766,-0.0105794587343,-0.00367165798569,-0.0134084321247,-0.0183977910952,1452442120.83
1452442120831672382,-0.0104867734121,-0.00364509883033,-0.0134077880375,-0.0183918404019,1452442120.83
1452442120834145599,-0.0103968686495,-0.00361933644964,-0.0134071079402,-0.018386769359,1452442120.83
1452442120837254338,-0.0113431636059,-0.0608951726395,-0.0117476446814,-0.0042450468378,1452442120.84
1452442120841501428,-0.0112303160541,-0.0595475414426,-0.0117467269764,-0.00454621514122,1452442120.84
1452442120843869841,-0.0111208539289,-0.0582403391817,-0.0117461667212,-0.00483497958409,1452442120.84
1452442120847205452,-0.0110146756674,-0.0569723529886,-0.0117454353093,-0.00511698441982,1452442120.85
1452442120850489579,-0.0109116827538,-0.0557424063813,-0.0117446952179,-0.00539085598133,1452442120.85
1452442120853862759,-0.0108117796275,-0.0545493581721,-0.0117439484579,-0.00565679747765,1452442120.85
1452442120857205969,-0.0107148735951,-0.0533921014093,-0.0117432088428,-0.00591492003844,1452442120.86
1452442120860502892,-0.0106208747436,-0.0522695623494,-0.0117424754198,-0.00616544709672,1452442120.86
1452442120863819344,-0.0105296958577,-0.0511806994612,-0.011741736228,-0.00640875050685,1452442120.86
1452442120867406944,-0.0104412523384,-0.0501245024597,-0.0117409866102,-0.00664507854008,1452442120.87
1452442120870480346,-0.0103554621246,-0.0490999913683,-0.0117402625018,-0.00687429244741,1452442120.87
1452442120874010183,-0.0102722456172,-0.0481062156096,-0.0117395090734,-0.00709714627559,1452442120.87
1452442120877280552,-0.0101915256051,-0.0471422531236,-0.0117387641129,-0.00731345390202,1452442120.88
1452442120880504819,-0.0101132271933,-0.0462072095122,-0.0117380380464,-0.007523314182,1452442120.88
1452442120884000107,-0.0100372777339,-0.0453002172092,-0.011737279749,-0.00772742085195,1452442120.88
1452442120890921381,-0.00996360675827,-0.0444204346752,-0.0117357673882,-0.00793327164253,1452442120.89
1452442120891498280,-0.00989214591191,-0.0435670456173,-0.0117356370889,-0.00811941306264,1452442120.89
1452442120893998352,-0.00982282889093,-0.0427392582311,-0.0117350550819,-0.0083045748217,1452442120.89
1452442120897451994,-0.00428623710841,0.018343666669,-0.0090597161063,-0.0226123360482,1452442120.9
1452442120900736844,-0.00436981938221,0.0177479722563,-0.00905888755251,-0.0224900985993,1452442120.9
1452442120904178233,-0.0044508941878,0.0171701486759,-0.00905806369639,-0.0223717477645,1452442120.9
1452442120908208713,-0.00452953674922,0.016609659803,-0.00905713713719,-0.0222582951842,1452442120.91
1452442120911857774,-0.0046058200338,0.0160659855962,-0.00905639901379,-0.0221465367121,1452442120.91
1452442120914225949,-0.00467981481984,0.0155386216157,-0.00905555055357,-0.0220395375555,1452442120.91
1452442120917422659,-0.00448319847436,0.0270424337011,-0.00847880102033,-0.024903478354,1452442120.92
1452442120920567799,-0.00456016179086,0.0262684497672,-0.00847799287265,-0.0247389106669,1452442120.92
1452442120924021196,-0.00463481620786,0.0255176853514,-0.00847712733425,-0.0245801467417,1452442120.92
1452442120927485985,-0.00470723099236,0.024789443868,-0.00847624698341,-0.0244265773695,1452442120.93
1452442120930698567,-0.00477747333332,0.0240830496292,-0.00847543781625,-0.0242771433887,1452442120.93
1452442120940145530,-0.00484560840406,0.0233978472174,-0.008473125516,-0.0241484530001,1452442120.94
1452442120940724346,-0.0314006330162,0.0419238992691,-0.00927978138478,-0.0322447661606,1452442120.94
1452442120941379254,-0.0306871393254,0.040739786774,-0.00927965097053,-0.0318747825766,1452442120.94
1452442120943963534,-0.0299950504454,0.0395911976538,-0.00927896938138,-0.0315221284629,1452442120.94
1452442120947273963,-0.0293237242317,0.0384770662071,-0.00927814328859,-0.0311819029159,1452442120.95
1452442120950547426,-0.0286725378045,0.0373963587039,-0.00927733669971,-0.0308519432861,1452442120.95
1452442120954057043,-0.02804088697,0.0363480724257,-0.00927651281929,-0.0305323590822,1452442120.95
1452442120957573945,-0.0274281856606,0.0353312347359,-0.00927568521276,-0.0302226579751,1452442120.96
1452442120960651831,-0.0268338653905,0.0343449021768,-0.00927487891499,-0.0299223045991,1452442120.96
1452442120964102801,-0.0262573747285,0.0333881595944,-0.00927405887714,-0.0296313752593,1452442120.96
1452442120968615979,-0.0256981787864,0.0324601192896,-0.00927294168109,-0.029352795959,1452442120.97
1452442120970872829,-0.0251557587225,0.0315599201938,-0.00927242351731,-0.0290762239534,1452442120.97
1452442120974125274,-0.0199671664809,0.0544638339359,-0.00802640241764,-0.033966220751,1452442120.97
1452442120977389156,-0.0195833935753,0.0530776178248,-0.00802558676715,-0.0336011076333,1452442120.98
1452442120980539830,-0.0192111338569,0.0517329881971,-0.00802475302358,-0.0332474197012,1452442120.98
1452442120983967160,-0.0188500419301,0.0504286974581,-0.00802389454671,-0.0329049131452,1452442120.98
1452442120987187487,-0.0184997827611,0.0491635354414,-0.00802305257901,-0.0325727762099,1452442120.99
1452442120990624433,-0.0181600313671,0.0479363282851,-0.00802219379754,-0.0322510853062,1452442120.99
1452442120993875433,-0.0178304725149,0.0467459373436,-0.0080213416563,-0.0319392538983,1452442120.99
1452442120997452429,-0.0175108004284,0.0455912581302,-0.00802048342311,-0.0316371301737,1452442121.0
1452442121000799044,-0.0172007185044,0.0444712192933,-0.0080196404807,-0.0313441902313,1452442121.0
1452442121004052411,-0.0168999390381,0.0433847816215,-0.00801877987165,-0.0310605235779,1452442121.0
1452442121007441228,-0.0166081829558,0.0423309370798,-0.00801793437062,-0.0307854818023,1452442121.01
1452442121012589538,-0.016325179556,0.0413087078744,-0.00801692664111,-0.0305208004818,1452442121.01
1452442121014568814,-0.0160506662582,0.0403171455452,-0.0080161736158,-0.0302615389294,1452442121.01
1452442121018239397,-0.0157843883593,0.0393553300858,-0.00801518349201,-0.0300129768299,1452442121.02
1452442121020672811,-0.0280281426495,-0.0247603693502,-0.0105250851677,-0.0157927584102,1452442121.02
1452442121023940605,-0.0274314965822,-0.0241559734878,-0.0105243270604,-0.0158710116824,1452442121.02
1452442121029167544,-0.026852749897,-0.0235697095013,-0.0105235245151,-0.0159476621082,1452442121.03
1452442121031706242,-0.0262913656123,-0.0230010334344,-0.0105226928994,-0.0160225652031,1452442121.03
1452442121034701105,-0.0257468228562,-0.0224494176495,-0.0105218191204,-0.0160959814034,1452442121.03
1452442121037320146,-0.0286555866245,-0.086252599065,-0.011413839862,-3.82039610907e-05,1452442121.04
1452442121040536297,-0.0280478926177,-0.0841901653714,-0.0114131171874,-0.000469509688806,1452442121.04
1452442121043908130,-0.0274584294312,-0.0821896046885,-0.0114123610482,-0.000888405815105,1452442121.04
1452442121047295142,-0.0268866501402,-0.0802490608262,-0.0114116106917,-0.00129490829736,1452442121.05
1452442121051231646,-0.026332024228,-0.0783667332797,-0.0114107539446,-0.00169049322854,1452442121.05
1452442121054095463,-0.0257940370931,-0.0765408755596,-0.0114101188669,-0.00207226852892,1452442121.05
1452442121057305794,-0.0252721895723,-0.0747697935712,-0.0114093757387,-0.00244385397067,1452442121.06
1452442121060663587,-0.0247659974771,-0.0730518440423,-0.0114086258641,-0.00280457168375,1452442121.06
