%time,field.x,field.y,field.z,field.yaw,field.time
1452442010942973268,4.2239798202,-0.374554736137,5.21017864037e-05,-0.0220670163999,1452442010.94
1452442010947233297,4.2239798202,-0.374554736137,5.21017864037e-05,-0.0220670163999,1452442010.95
1452442010949907114,4.2239798202,-0.374554736137,5.21017864037e-05,-0.0220670163999,1452442010.95
1452442010953195346,4.2239798202,-0.374554736137,5.21017864037e-05,-0.0220670163999,1452442010.95
1452442010956371970,4.21899476127,-0.358103687592,-0.00782062372517,-0.0209090533763,1452442010.96
1452442010959564361,4.21899476127,-0.358103687592,-0.00782062372517,-0.0209090533763,1452442010.96
1452442010963606208,4.21899476127,-0.358103687592,-0.00782062372517,-0.0209090533763,1452442010.96
1452442010966288177,4.21899476127,-0.358103687592,-0.00782062372517,-0.0209090533763,1452442010.97
1452442010969536467,4.21899476127,-0.358103687592,-0.00782062372517,-0.0209090533763,1452442010.97
1452442010972986195,4.21899476127,-0.358103687592,-0.00782062372517,-0.0209090533763,1452442010.97
1452442010976477900,4.21899476127,-0.358103687592,-0.00782062372517,-0.0209090533763,1452442010.98
1452442010979977261,4.21899476127,-0.358103687592,-0.00782062372517,-0.0209090533763,1452442010.98
1452442010988909846,4.21899476127,-0.358103687592,-0.00782062372517,-0.0209090533763,1452442010.99
1452442010988925766,4.20890878896,-0.376766460045,-0.0180678144056,-0.0190827868829,1452442010.99
1452442010990752480,4.20890878896,-0.376766460045,-0.0180678144056,-0.0190827868829,1452442010.99
1452442010993018020,4.20890878896,-0.376766460045,-0.0180678144056,-0.0190827868829,1452442010.99
1452442010996211344,4.20890878896,-0.376766460045,-0.0180678144056,-0.0190827868829,1452442011.0
1452442010999784448,4.20890878896,-0.376766460045,-0.0180678144056,-0.0190827868829,1452442011.0
1452442011002967318,4.20890878896,-0.376766460045,-0.0180678144056,-0.0190827868829,1452442011.0
1452442011007597291,4.20890878896,-0.376766460045,-0.0180678144056,-0.0190827868829,1452442011.01
1452442011010597827,4.20890878896,-0.376766460045,-0.0180678144056,-0.0190827868829,1452442011.01
1452442011013385884,4.20890878896,-0.376766460045,-0.0180678144056,-0.0190827868829,1452442011.01
1452442011016384627,4.19828327971,-0.402813910798,-0.0271120985441,-0.0164920772197,1452442011.02
1452442011019604646,4.19828327971,-0.402813910798,-0.0271120985441,-0.0164920772197,1452442011.02
1452442011023518818,4.19828327971,-0.402813910798,-0.0271120985441,-0.0164920772197,1452442011.02
