%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1452442010933156849,-0.0391756777844,0.0300479280915,0.00370595941864,0.0,0.0,0.051336771053
1452442010936506585,-0.0385386468014,0.0302701544571,0.00370595770291,0.0,0.0,0.0517622659137
1452442010940244259,-0.037920726748,0.0304857140318,0.00370595575849,0.0,0.0,0.0521757591258
1452442010943113990,-0.0373213442962,0.0306948068193,0.00370595424337,0.0,0.0,0.0525758302382
1452442010947910696,-0.0367399433179,0.0308976268231,0.003705952152,0.0,0.0,0.0529656165957
1452442010952004981,-0.036175984369,0.0310943622268,0.00370595065142,0.0,0.0,0.0533422441921
1452442010953594143,-0.0356289441885,0.0312851955684,0.00370594891233,0.0,0.0,0.0537083591285
1452442010956637599,-0.0385935552575,0.0245956095032,0.0123662050519,0.0,0.0,0.051090812059
1452442010959801085,-0.0379837088153,0.0249320522809,0.0123664538244,0.0,0.0,0.0514982241028
1452442010963927194,-0.0373921577664,0.0252584017752,0.0123667547679,0.0,0.0,0.0518944690762
1452442010966480219,-0.0368183532489,0.0255749607847,0.0123669731291,0.0,0.0,0.0522775213248
1452442010969737763,-0.036261762867,0.025882023024,0.0123672367624,0.0,0.0,0.0526499961131
1452442010973152694,-0.0357218701965,0.026179873396,0.0123674921728,0.0,0.0,0.0530112928244
1452442010979243299,-0.0351981743061,0.0264687882569,0.0123677597217,0.0,0.0,0.0533620931652
1452442010979988764,-0.0346901892924,0.026749035672,0.0123680185816,0.0,0.0,0.0537023592791
1452442010989530032,-0.0341974438292,0.0270208756646,0.0123686748958,0.0,0.0,0.0540394565532
1452442010989547187,-0.0689961255883,0.0612191982997,0.0236406948353,0.0,0.0,0.03502649021
1452442010990740843,-0.0674938696821,0.0605129217309,0.0236410132176,0.0,0.0,0.0358739277184
1452442010993232413,-0.0660366814532,0.0598278334591,0.0236414780618,0.0,0.0,0.0366969950774
1452442010996527072,-0.0646232088711,0.0591632978354,0.0236420719648,0.0,0.0,0.0374963666529
1452442010999775637,-0.0632521404665,0.0585186982805,0.0236426817632,0.0,0.0,0.0382719809841
