%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1452442823657095079,0.00304400419503,0.00479436108992,0.00137304782419,0.0,0.0,0.0067388297364
1452442823663139868,0.00301681006607,0.00538432354945,0.00137081926167,0.0,0.0,0.00671417198529
1452442823669131937,0.00299043176099,0.0059565871352,0.00136933222975,0.0,0.0,0.00669086516075
1452442823669143254,0.00296484480506,0.00651168281337,0.00136781256353,0.0,0.0,0.00666818881344
1452442823681304855,0.00294002545781,0.0070501256212,0.00136597437171,0.0,0.0,0.00664586169109
1452442823682308156,0.00172511277704,0.0238639378933,-0.00600418263952,0.0,0.0,0.00156614626753
1452442823685826809,0.00172849232459,0.0241303390112,-0.00600654632458,0.0,0.0,0.00160807900418
1452442823688221046,0.00173177048572,0.0243887480955,-0.00600801834104,0.0,0.0,0.00164976527074
1452442823695068532,0.00173495030201,0.0246394049073,-0.0060120865178,0.0,0.0,0.0016869491393
1452442823695589521,0.00173803472382,0.0248825420148,-0.00601239139649,0.0,0.0,0.00172750204619
1452442823698321678,0.00174102661297,0.025118385009,-0.00601396508585,0.0,0.0,0.00176526374846
1452442823701318003,0.00412370982846,0.0344437032702,-0.0148344882012,0.0,0.0,-0.00230220815112
1452442823704664486,0.00406131606034,0.0344543701469,-0.0148367032151,0.0,0.0,-0.00217857518427
1452442823708099753,0.00400079410527,0.0344647170173,-0.014838966295,0.0,0.0,-0.00205879198595
1452442823711716335,0.00394208780885,0.0344747534816,-0.0148413234377,0.0,0.0,-0.00194280362226
1452442823714927735,0.00474580953489,0.00390810507523,-0.0199598091578,0.0,0.0,0.00373414627166
1452442823717976335,0.00466714251644,0.0046155985701,-0.0199620748152,0.0,0.0,0.0037259719477
1452442823721331798,0.00459083550854,0.00530186726011,-0.0199644262775,0.0,0.0,0.00371787730574
1452442823724685782,0.00451681771088,0.00596754788943,-0.0199668640554,0.0,0.0,0.00370987605415
1452442823727948710,0.00444502044715,0.00661325809986,-0.0199691641029,0.0,0.0,0.00370217703424
1452442823731481472,0.00437537710133,0.00723959700399,-0.019971709818,0.0,0.0,0.00369440871487
1452442823734786710,0.00430782305589,0.00784714574099,-0.0199740568538,0.0,0.0,0.00368698689753
1452442823738125199,0.00424229563181,0.00843646801588,-0.0199763912914,0.0,0.0,0.0036797377562
1452442823744601834,0.00417873403045,0.00900811062252,-0.0199792625201,0.0,0.0,0.00367212151319
1452442823746670129,0.00411707927713,0.00956260395096,-0.0199820988481,0.0,0.0,0.00366469179025
1452442823748667849,0.000978459162928,0.0282739118551,-0.0212684815363,0.0,0.0,-0.000750927156744
1452442823751423635,0.00100607537808,0.0283564638914,-0.0212705383671,0.0,0.0,-0.00065710207525
1452442823754675616,0.00103286310678,0.0284365393666,-0.0212729326102,0.0,0.0,-0.000566517138408
1452442823758000048,0.00105884720362,0.0285142125775,-0.0212753021098,0.0,0.0,-0.00047869911232
1452442823761235935,0.00108405177756,0.0285895555922,-0.0212777145212,0.0,0.0,-0.000393638375429
1452442823764608428,0.00110850021427,0.0286626383164,-0.0212801051307,0.0,0.0,-0.000311187894561
1452442823768082987,0.00113221519789,0.0287335285588,-0.0212825595889,0.0,0.0,-0.000231343922445
1452442823771446016,0.00115521873199,0.028802292094,-0.0212850278897,0.0,0.0,-0.000153995714408
1452442823775737555,0.00117753216008,0.0288689927231,-0.0212875107252,0.0,0.0,-7.90600443019e-05
1452442823779480629,0.00119917618532,0.0289336923334,-0.0212899129278,0.0,0.0,-6.36735356309e-06
1452442823782333361,0.00434915111838,0.0423684108246,-0.0227032475822,0.0,0.0,-0.00726921719247
1452442823784776091,0.0042853902809,0.0421338411266,-0.0227053627662,0.0,0.0,-0.00705166040946
1452442823787951629,0.00422354226854,0.0419063085195,-0.0227077343361,0.0,0.0,-0.00684105557797
1452442823791379609,0.00416354969656,0.0416856018906,-0.0227102048682,0.0,0.0,-0.00663699177376
1452442823794624935,0.00410535690173,0.0414715164606,-0.0227126444086,0.0,0.0,-0.00643910775363
1452442823797976384,0.00404890989075,0.0412638535934,-0.0227151651261,0.0,0.0,-0.00624736323855
1452442823802330456,0.0039941562901,0.0410624206123,-0.0227179163444,0.0,0.0,-0.00606178402722
1452442823805139121,0.00394104529746,0.0408670306207,-0.0227201836695,0.0,0.0,-0.00588122873625
1452442823808737193,0.00388952763461,0.0406775023287,-0.0227228588173,0.0,0.0,-0.00570672735964
1452442823811480914,0.00881386101078,0.00976588211336,-0.0242577004289,0.0,0.0,-0.00110679129371
1452442823814931693,0.00862881089245,0.0103049660877,-0.0242602024952,0.0,0.0,-0.00103883507813
1452442823818207861,0.00844931227768,0.0108278775429,-0.0242626760352,0.0,0.0,-0.000972977046838
1452442823821320567,0.00827519862134,0.0113351016544,-0.0242651863544,0.0,0.0,-0.000909223628649
1452442823824631751,0.0081063083747,0.0118271090425,-0.0242676417738,0.0,0.0,-0.000847407066092
1452442823829736102,0.00794248483546,0.012304356209,-0.0242701883341,0.0,0.0,-0.000787634743062
1452442823833301029,0.00778357600239,0.0127672859605,-0.0242729401406,0.0,0.0,-0.000729988016273
1452442823835468137,0.00762943443432,0.0132163278195,-0.0242753752865,0.0,0.0,-0.000673788484138
1452442823838755902,0.00166367949568,0.0250013202263,-0.0295491655318,0.0,0.0,-0.00682300816434
1452442823841425421,0.00167713820164,0.0251636135372,-0.0295517981152,0.0,0.0,-0.0066383787077
1452442823844563843,0.00169019314643,0.0253210380487,-0.0295543618067,0.0,0.0,-0.00645930488705
1452442823847973266,0.00170285644286,0.0254737398249,-0.0295570392366,0.0,0.0,-0.00628584570871
1452442823851261766,0.00171513984041,0.0256218605479,-0.0295597126589,0.0,0.0,-0.00611768906822
1452442823854683612,0.00172705473603,0.0257655376491,-0.0295624253934,0.0,0.0,-0.00595473128771
1452442823859250570,0.00173861218478,0.0259049044373,-0.0295652115998,0.0,0.0,-0.00579686074641
1452442823861453980,0.00174982291007,0.0260400902218,-0.0295678306338,0.0,0.0,-0.00564361921819
1452442823865647183,0.0017606973136,0.0261712204329,-0.0295705920315,0.0,0.0,-0.0054952561807
1452442823868246746,0.00177124548502,0.0262984167376,-0.0295732599196,0.0,0.0,-0.00535133131051
1452442823871841136,0.000722471270603,0.0270741770972,-0.0351221819129,0.0,0.0,-0.0089254510762
1452442823875214697,0.00076099689418,0.0271791006426,-0.0351251217122,0.0,0.0,-0.00871268704924
1452442823878033431,0.000798366749049,0.0272808764816,-0.0351275269842,0.0,0.0,-0.00850571085354
